accuracy,model,group
0.78771,xgb,FE
0.78771,xgb,FE
0.80782,xgb,FE
0.78771,xgb,FE
0.78771,xgb,FE
0.7933,xgb,FE
0.78771,xgb,FE
0.78771,xgb,FE
0.78771,xgb,FE
0.78994,xgb,FE
0.78212,xgb,FE
0.80559,xgb,FE
0.80112,xgb,FE
0.78101,xgb,FE
0.78771,xgb,FE
0.78659,xgb,FE
0.7933,xgb,FE
0.78771,xgb,FE
0.78771,xgb,FE
0.7933,xgb,FE
0.79218,xgb,FE
0.79888,xgb,FE
0.78771,xgb,FE
0.81006,xgb,FE
0.80894,xgb,FE
0.80782,xgb,FE
0.80894,xgb,FE
0.81341,xgb,FE
0.79888,xgb,FE
0.79665,xgb,FE
0.79888,xgb,FE
0.79553,xgb,FE
0.79777,xgb,FE
0.79553,xgb,FE
0.79553,xgb,FE
0.79777,xgb,FE
0.79777,xgb,FE
0.79553,xgb,FE
0.79441,xgb,FE
0.79441,xgb,FE
0.80335,xgb,FE
0.81006,xgb,FE
0.79106,xgb,FE
0.80447,xgb,FE
0.81229,xgb,FE
0.79888,xgb,FE
0.81117,xgb,FE
0.8067,xgb,FE
0.7933,xgb,FE
0.79553,xgb,FE
0.80112,xgb,FE
0.79777,xgb,FE
0.8067,xgb,FE
0.79553,xgb,FE
0.79777,xgb,FE
