model,Feature_Engineering,Model_Tuning,accuracy
dt,1,0,0.78947
dt,1,0,0.78708
dt,1,0,0.77511
dt,1,0,0.78468
dt,1,0,0.77751
dt,1,0,0.78468
dt,1,0,0.77511
dt,1,0,0.78229
dt,1,0,0.79186
dt,1,0,0.78468
dt,1,0,0.78468
dt,1,0,0.79186
dt,1,0,0.78468
dt,1,0,0.77511
dt,1,0,0.78468
dt,1,0,0.78468
dt,1,0,0.79186
dt,1,0,0.7488
dt,1,0,0.7488
dt,1,0,0.7488
dt,1,0,0.7488
dt,1,0,0.75837
dt,1,0,0.75837
dt,1,0,0.73444
dt,1,0,0.76794
dt,1,0,0.76076
dt,1,0,0.76794
dt,1,0,0.76794
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.76076
dt,1,0,0.76794
dt,1,0,0.76794
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.76076
dt,1,0,0.76794
dt,1,0,0.77511
dt,1,0,0.74401
dt,1,0,0.76794
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.77511
dt,1,0,0.73923
dt,1,0,0.75358
dt,1,0,0.74162
dt,1,0,0.7488
dt,1,0,0.76794
dt,1,0,0.74401
dt,1,0,0.74401
dt,1,0,0.74162
dt,1,0,0.74641
dt,1,0,0.76555
dt,1,0,0.75119
dt,1,0,0.74401
dt,1,0,0.75119
dt,1,0,0.76794
dt,1,0,0.75119
dt,1,0,0.7488
dt,1,0,0.77033
dt,1,0,0.73923
dt,1,0,0.7799
dt,1,0,0.75119
dt,1,0,0.76315
dt,1,0,0.76315
dt,1,0,0.77272
dt,1,0,0.77272
dt,1,0,0.78708
dt,1,0,0.76315
dt,1,0,0.76555
dt,1,0,0.76555
dt,1,0,0.78229
dt,1,0,0.75598
dt,1,0,0.77272
dt,1,0,0.78708
dt,1,0,0.76076
dt,1,0,0.79425
dt,1,0,0.76794
dt,1,0,0.78229
dt,1,0,0.76555
dt,1,0,0.77033
dt,1,0,0.78229
dt,1,0,0.75598
dt,1,0,0.77272
dt,1,0,0.78708
dt,1,0,0.76076
dt,1,0,0.79425
dt,1,0,0.76794
dt,1,0,0.78229
dt,1,0,0.77033
dt,1,0,0.77511
dt,1,0,0.7488
dt,1,0,0.78947
dt,1,0,0.76076
dt,1,0,0.77033
dt,1,0,0.78468
dt,1,0,0.76076
dt,1,0,0.77511
dt,1,0,0.78708
dt,1,0,0.7488
dt,1,0,0.7488
dt,1,0,0.74641
dt,1,0,0.75598
dt,1,0,0.75837
dt,1,0,0.73205
dt,1,0,0.75119
dt,1,0,0.74641
dt,1,0,0.75358
dt,1,0,0.74401
dt,1,0,0.73444
dt,1,0,0.7488
dt,1,0,0.75837
dt,1,0,0.75598
dt,1,0,0.73684
dt,1,0,0.75598
dt,1,0,0.75598
dt,1,0,0.72966
dt,1,0,0.75598
dt,1,0,0.74401
dt,1,0,0.74401
dt,1,0,0.76076
dt,1,0,0.76794
dt,1,0,0.76794
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.76076
dt,1,0,0.76315
dt,1,0,0.77511
dt,1,0,0.74401
dt,1,0,0.76794
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.77511
dt,1,0,0.76076
dt,1,0,0.76555
dt,1,0,0.77511
dt,1,0,0.74401
dt,1,0,0.76794
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.77511
dt,1,0,0.76555
dt,1,0,0.77511
dt,1,0,0.74401
dt,1,0,0.7799
dt,1,0,0.7488
dt,1,0,0.76315
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.77511
dt,1,0,0.77511
dt,1,0,0.7488
dt,1,0,0.74162
dt,1,0,0.75358
dt,1,0,0.76794
dt,1,0,0.74401
dt,1,0,0.74162
dt,1,0,0.75119
dt,1,0,0.76555
dt,1,0,0.75598
dt,1,0,0.74641
dt,1,0,0.77033
dt,1,0,0.74401
dt,1,0,0.7799
dt,1,0,0.75358
dt,1,0,0.76315
dt,1,0,0.74401
dt,1,0,0.75837
dt,1,0,0.76794
dt,1,0,0.75119
dt,1,0,0.7488
dt,1,0,0.77272
dt,1,0,0.73444
dt,1,0,0.78229
dt,1,0,0.75598
dt,1,0,0.76555
dt,1,0,0.7488
dt,1,0,0.76555
dt,1,0,0.75119
dt,1,0,0.78229
dt,1,0,0.76076
dt,1,0,0.76315
dt,1,0,0.77033
dt,1,0,0.75119
dt,1,0,0.75358
dt,1,0,0.77272
dt,1,0,0.76555
dt,1,0,0.76555
dt,1,0,0.7799
dt,1,0,0.75598
dt,1,0,0.77272
dt,1,0,0.78708
dt,1,0,0.76076
dt,1,0,0.79425
dt,1,0,0.76794
dt,1,0,0.78229
dt,1,0,0.76794
dt,1,0,0.77511
dt,1,0,0.7488
dt,1,0,0.78468
dt,1,0,0.75598
dt,1,0,0.77033
dt,1,0,0.78468
dt,1,0,0.76076
dt,1,0,0.77511
dt,1,0,0.78468
dt,1,0,0.77272
dt,1,0,0.77511
dt,1,0,0.7488
dt,1,0,0.78947
dt,1,0,0.76076
dt,1,0,0.77033
dt,1,0,0.78468
dt,1,0,0.76076
dt,1,0,0.77511
dt,1,0,0.78708
dt,1,0,0.77751
dt,1,0,0.75358
dt,1,0,0.76315
dt,1,0,0.77511
dt,1,0,0.77272
dt,1,0,0.75598
dt,1,0,0.75119
dt,1,0,0.75598
dt,1,0,0.75598
dt,1,0,0.75358
dt,1,0,0.74641
dt,1,0,0.75119
dt,1,0,0.75598
dt,1,0,0.75598
dt,1,0,0.75598
dt,1,0,0.7488
dt,1,0,0.75119
dt,1,0,0.75119
dt,1,0,0.74641
dt,1,0,0.73923
dt,1,0,0.75598
dt,1,0,0.75358
dt,1,0,0.7488
dt,1,0,0.75837
dt,1,0,0.7488
dt,1,0,0.75598
dt,1,0,0.78229
dt,1,0,0.7799
dt,1,0,0.7799
dt,1,0,0.79665
dt,1,0,0.76555
dt,1,0,0.78229
dt,1,0,0.78229
dt,1,0,0.79904
dt,1,0,0.76794
dt,1,0,0.7799
dt,1,0,0.79665
dt,1,0,0.76555
dt,1,0,0.78947
dt,1,0,0.76555
dt,1,0,0.79186
dt,1,0,0.78229
dt,1,0,0.78229
dt,1,0,0.79904
dt,1,0,0.76794
dt,1,0,0.7799
dt,1,0,0.79665
dt,1,0,0.76555
dt,1,0,0.78947
dt,1,0,0.76555
dt,1,0,0.79186
dt,1,0,0.78229
dt,1,0,0.79904
dt,1,0,0.76794
dt,1,0,0.79186
dt,1,0,0.76794
dt,1,0,0.79425
dt,1,0,0.78947
dt,1,0,0.76555
dt,1,0,0.79186
dt,1,0,0.78229
dt,1,0,0.74641
dt,1,0,0.75119
dt,1,0,0.75598
dt,1,0,0.76555
dt,1,0,0.75358
dt,1,0,0.74401
dt,1,0,0.7488
dt,1,0,0.75837
dt,1,0,0.74401
dt,1,0,0.75119
dt,1,0,0.77272
dt,1,0,0.75358
dt,1,0,0.7799
dt,1,0,0.76076
dt,1,0,0.76794
dt,1,0,0.74641
dt,1,0,0.7488
dt,1,0,0.75598
dt,1,0,0.74401
dt,1,0,0.75119
dt,1,0,0.77033
dt,1,0,0.75358
dt,1,0,0.77751
dt,1,0,0.76315
dt,1,0,0.76794
dt,1,0,0.74641
dt,1,0,0.76315
dt,1,0,0.7488
dt,1,0,0.77033
dt,1,0,0.75119
dt,1,0,0.75837
dt,1,0,0.77272
dt,1,0,0.75358
dt,1,0,0.76555
dt,1,0,0.77272
dt,1,0,0.78229
dt,1,0,0.78468
dt,1,0,0.78708
dt,1,0,0.76794
dt,1,0,0.7799
dt,1,0,0.78708
dt,1,0,0.76794
dt,1,0,0.79904
dt,1,0,0.77511
dt,1,0,0.78468
dt,1,0,0.78229
dt,1,0,0.78947
dt,1,0,0.77033
dt,1,0,0.79904
dt,1,0,0.77272
dt,1,0,0.7799
dt,1,0,0.78708
dt,1,0,0.76794
dt,1,0,0.78229
dt,1,0,0.79186
dt,1,0,0.78229
dt,1,0,0.78947
dt,1,0,0.77033
dt,1,0,0.79904
dt,1,0,0.77272
dt,1,0,0.78468
dt,1,0,0.78708
dt,1,0,0.76794
dt,1,0,0.78229
dt,1,0,0.78708
dt,1,0,0.78947
dt,1,0,0.77033
dt,1,0,0.79186
dt,1,0,0.78708
dt,1,0,0.78229
dt,1,0,0.74401
dt,1,0,0.7488
dt,1,0,0.7488
dt,1,0,0.76555
dt,1,0,0.75119
dt,1,0,0.74401
dt,1,0,0.74401
dt,1,0,0.75837
dt,1,0,0.74641
dt,1,0,0.7488
dt,1,0,0.76555
dt,1,0,0.75119
dt,1,0,0.76315
dt,1,0,0.75119
dt,1,0,0.75358
dt,1,0,0.74401
dt,1,0,0.74401
dt,1,0,0.75837
dt,1,0,0.74641
dt,1,0,0.7488
dt,1,0,0.76555
dt,1,0,0.75119
dt,1,0,0.76315
dt,1,0,0.75119
dt,1,0,0.75358
dt,1,0,0.74401
dt,1,0,0.75837
dt,1,0,0.75119
dt,1,0,0.76076
dt,1,0,0.74641
dt,1,0,0.7488
dt,1,0,0.76555
dt,1,0,0.75119
dt,1,0,0.75358
dt,1,0,0.75358
dt,1,0,0.78468
dt,1,0,0.78468
dt,1,0,0.79186
dt,1,0,0.77511
dt,1,0,0.78468
dt,1,0,0.79186
dt,1,0,0.77511
dt,1,0,0.79425
dt,1,0,0.77511
dt,1,0,0.78947
dt,1,0,0.78468
dt,1,0,0.79186
dt,1,0,0.77511
dt,1,0,0.79425
dt,1,0,0.77511
dt,1,0,0.79186
dt,1,0,0.79425
dt,1,0,0.77511
dt,1,0,0.79186
dt,1,0,0.79186
dt,1,0,0.78468
dt,1,0,0.79186
dt,1,0,0.77511
dt,1,0,0.79425
dt,1,0,0.77511
dt,1,0,0.78947
dt,1,0,0.79425
dt,1,0,0.77511
dt,1,0,0.78947
dt,1,0,0.79425
dt,1,0,0.79425
dt,1,0,0.77511
dt,1,0,0.79186
dt,1,0,0.79186
dt,1,0,0.79186
dt,1,0,0.76315
dt,1,0,0.76315
dt,1,0,0.75598
dt,1,0,0.73923
dt,1,0,0.76794
dt,1,0,0.77272
dt,1,0,0.75119
dt,1,0,0.77751
dt,1,0,0.75598
dt,1,0,0.75119
dt,1,0,0.76315
dt,1,0,0.76555
dt,1,0,0.74641
dt,1,0,0.77272
dt,1,0,0.74641
dt,1,0,0.74401
dt,1,0,0.77033
dt,1,0,0.75119
dt,1,0,0.75358
dt,1,0,0.75598
dt,1,0,0.76315
dt,1,0,0.76555
dt,1,0,0.74641
dt,1,0,0.76794
dt,1,0,0.74641
dt,1,0,0.74401
dt,1,0,0.77033
dt,1,0,0.75119
dt,1,0,0.75358
dt,1,0,0.75598
dt,1,0,0.76794
dt,1,0,0.74641
dt,1,0,0.7488
dt,1,0,0.75119
dt,1,0,0.75119
dt,1,0,0.78468
dt,1,0,0.78708
dt,1,0,0.77033
dt,1,0,0.78947
dt,1,0,0.77033
dt,1,0,0.77751
dt,1,0,0.78947
dt,1,0,0.77033
dt,1,0,0.78708
dt,1,0,0.78708
dt,1,0,0.78947
dt,1,0,0.77033
dt,1,0,0.78468
dt,1,0,0.78947
dt,1,0,0.78947
dt,1,0,0.78947
dt,1,0,0.77033
dt,1,0,0.78708
dt,1,0,0.78708
dt,1,0,0.78708
dt,1,0,0.78947
dt,1,0,0.73923
dt,1,0,0.73923
dt,1,0,0.7488
dt,1,0,0.74641
dt,1,0,0.75119
dt,1,0,0.73205
dt,1,0,0.74162
dt,1,0,0.76794
dt,1,0,0.76076
dt,1,0,0.76794
dt,1,0,0.76794
dt,1,0,0.7799
dt,1,0,0.75837
dt,1,0,0.76555
dt,1,0,0.77272
dt,1,0,0.77033
dt,1,0,0.78468
dt,1,0,0.76315
dt,1,0,0.76315
dt,1,0,0.76555
dt,1,0,0.76555
dt,1,0,0.75598
dt,1,0,0.77033
dt,1,0,0.78468
dt,1,0,0.76315
dt,1,0,0.78468
dt,1,0,0.76315
dt,1,0,0.76315
dt,1,0,0.73923
dt,1,0,0.74401
dt,1,0,0.73923
dt,1,0,0.74401
dt,1,0,0.75837
dt,1,0,0.73923
dt,1,0,0.74162
dt,1,0,0.73684
dt,1,0,0.74641
dt,1,0,0.75598
dt,1,0,0.74162
dt,1,0,0.74401
dt,1,0,0.75119
dt,1,0,0.76076
dt,1,0,0.74401
dt,1,0,0.74401
dt,1,0,0.75598
dt,1,0,0.73923
dt,1,0,0.76794
dt,1,0,0.7488
dt,1,0,0.75358
dt,1,0,0.75358
dt,1,0,0.75837
dt,1,0,0.76076
dt,1,0,0.77751
dt,1,0,0.75837
dt,1,0,0.75119
dt,1,0,0.7488
dt,1,0,0.77033
dt,1,0,0.75358
dt,1,0,0.76076
dt,1,0,0.76555
dt,1,0,0.75119
dt,1,0,0.77751
dt,1,0,0.75598
dt,1,0,0.76315
dt,1,0,0.75119
dt,1,0,0.75837
dt,1,0,0.77033
dt,1,0,0.75358
dt,1,0,0.76555
dt,1,0,0.76555
dt,1,0,0.75119
dt,1,0,0.78229
dt,1,0,0.75837
dt,1,0,0.76794
dt,1,0,0.75837
dt,1,0,0.76076
dt,1,0,0.74401
dt,1,0,0.7799
dt,1,0,0.75598
dt,1,0,0.76076
dt,1,0,0.77272
dt,1,0,0.7488
dt,1,0,0.75598
dt,1,0,0.77272
dt,1,0,0.73923
dt,1,0,0.74162
dt,1,0,0.73923
dt,1,0,0.74641
dt,1,0,0.73684
dt,1,0,0.73444
dt,1,0,0.73923
dt,1,0,0.73923
dt,1,0,0.74641
dt,1,0,0.73684
dt,1,0,0.73684
dt,1,0,0.74641
dt,1,0,0.74401
dt,1,0,0.73923
dt,1,0,0.73684
dt,1,0,0.74641
dt,1,0,0.73684
dt,1,0,0.74162
dt,1,0,0.74162
dt,1,0,0.7488
dt,1,0,0.72248
dt,1,0,0.75837
dt,1,0,0.76794
dt,1,0,0.76794
dt,1,0,0.77272
dt,1,0,0.75598
dt,1,0,0.75837
dt,1,0,0.76076
dt,1,0,0.77272
dt,1,0,0.75119
dt,1,0,0.76794
dt,1,0,0.7799
dt,1,0,0.75598
dt,1,0,0.77033
dt,1,0,0.76076
dt,1,0,0.76555
dt,1,0,0.76555
dt,1,0,0.76315
dt,1,0,0.77511
dt,1,0,0.75837
dt,1,0,0.77272
dt,1,0,0.78708
dt,1,0,0.76315
dt,1,0,0.77511
dt,1,0,0.75598
dt,1,0,0.77511
dt,1,0,0.76555
dt,1,0,0.77511
dt,1,0,0.75837
dt,1,0,0.76794
dt,1,0,0.75598
dt,1,0,0.75837
dt,1,0,0.78229
dt,1,0,0.76076
dt,1,0,0.77033
dt,1,0,0.76555
dt,1,0,0.74401
dt,1,0,0.73923
dt,1,0,0.74641
dt,1,0,0.76076
dt,1,0,0.73923
dt,1,0,0.73923
dt,1,0,0.75837
dt,1,0,0.76555
dt,1,0,0.74641
dt,1,0,0.75119
dt,1,0,0.75837
dt,1,0,0.74401
dt,1,0,0.77511
dt,1,0,0.75358
dt,1,0,0.75119
dt,1,0,0.74401
dt,1,0,0.75119
dt,1,0,0.75598
dt,1,0,0.74641
dt,1,0,0.74401
dt,1,0,0.75358
dt,1,0,0.74162
dt,1,0,0.77033
dt,1,0,0.75358
dt,1,0,0.75358
dt,1,0,0.74641
dt,1,0,0.75358
dt,1,0,0.74641
dt,1,0,0.77272
dt,1,0,0.75598
dt,1,0,0.75358
dt,1,0,0.76076
dt,1,0,0.75358
dt,1,0,0.74641
dt,1,0,0.76555
dt,1,0,0.75119
dt,1,0,0.75358
dt,1,0,0.77033
dt,1,0,0.75358
dt,1,0,0.76076
dt,1,0,0.76555
dt,1,0,0.7488
dt,1,0,0.77751
dt,1,0,0.76076
dt,1,0,0.76315
dt,1,0,0.75358
dt,1,0,0.75837
dt,1,0,0.74401
dt,1,0,0.77511
dt,1,0,0.7488
dt,1,0,0.75598
dt,1,0,0.76794
dt,1,0,0.74641
dt,1,0,0.75598
dt,1,0,0.77272
dt,1,0,0.75598
dt,1,0,0.76076
dt,1,0,0.74641
dt,1,0,0.77511
dt,1,0,0.75837
dt,1,0,0.76315
dt,1,0,0.77272
dt,1,0,0.75598
dt,1,0,0.75598
dt,1,0,0.76555
dt,1,0,0.76555
dt,1,0,0.74401
dt,1,0,0.74641
dt,1,0,0.76794
dt,1,0,0.76315
dt,1,0,0.75119
dt,1,0,0.75119
dt,1,0,0.75119
dt,1,0,0.7488
dt,1,0,0.7488
dt,1,0,0.74641
dt,1,0,0.7488
dt,1,0,0.75119
dt,1,0,0.7488
dt,1,0,0.74641
dt,1,0,0.74641
dt,1,0,0.7488
dt,1,0,0.74641
dt,1,0,0.7488
dt,1,0,0.74401
dt,1,0,0.7488
dt,1,0,0.74641
dt,1,0,0.74641
dt,1,0,0.75119
dt,1,0,0.74641
dt,1,0,0.74162
dt,1,0,0.78468
dt,1,0,0.78708
dt,1,0,0.78468
dt,1,0,0.79904
dt,1,0,0.7799
dt,1,0,0.78468
dt,1,0,0.78229
dt,1,0,0.79665
dt,1,0,0.77751
dt,1,0,0.78468
dt,1,0,0.79904
dt,1,0,0.7799
dt,1,0,0.80143
dt,1,0,0.7799
dt,1,0,0.78947
dt,1,0,0.78468
dt,1,0,0.78229
dt,1,0,0.79665
dt,1,0,0.77751
dt,1,0,0.78468
dt,1,0,0.79904
dt,1,0,0.7799
dt,1,0,0.79904
dt,1,0,0.7799
dt,1,0,0.79186
dt,1,0,0.78229
dt,1,0,0.79665
dt,1,0,0.77751
dt,1,0,0.79904
dt,1,0,0.77751
dt,1,0,0.78947
dt,1,0,0.80143
dt,1,0,0.7799
dt,1,0,0.79186
dt,1,0,0.79186
dt,1,0,0.7488
dt,1,0,0.75119
dt,1,0,0.7488
dt,1,0,0.76794
dt,1,0,0.7488
dt,1,0,0.75119
dt,1,0,0.7488
dt,1,0,0.77033
dt,1,0,0.7488
dt,1,0,0.7488
dt,1,0,0.76315
dt,1,0,0.75119
dt,1,0,0.77033
dt,1,0,0.7488
dt,1,0,0.76076
dt,1,0,0.7488
dt,1,0,0.74641
dt,1,0,0.76315
dt,1,0,0.74641
dt,1,0,0.7488
dt,1,0,0.76315
dt,1,0,0.75119
dt,1,0,0.76794
dt,1,0,0.7488
dt,1,0,0.75358
dt,1,0,0.74641
dt,1,0,0.76315
dt,1,0,0.7488
dt,1,0,0.77033
dt,1,0,0.74641
dt,1,0,0.76076
dt,1,0,0.75837
dt,1,0,0.7488
dt,1,0,0.75837
dt,1,0,0.76076
dt,1,0,0.77751
dt,1,0,0.77511
dt,1,0,0.79665
dt,1,0,0.77511
dt,1,0,0.7799
dt,1,0,0.79186
dt,1,0,0.77751
dt,1,0,0.79186
dt,1,0,0.77751
dt,1,0,0.78229
dt,1,0,0.77751
dt,1,0,0.78947
dt,1,0,0.77511
dt,1,0,0.78947
dt,1,0,0.77272
dt,1,0,0.7799
dt,1,0,0.79186
dt,1,0,0.77751
dt,1,0,0.78468
dt,1,0,0.78708
dt,1,0,0.77751
dt,1,0,0.78947
dt,1,0,0.77511
dt,1,0,0.78947
dt,1,0,0.77511
dt,1,0,0.78708
dt,1,0,0.79186
dt,1,0,0.77751
dt,1,0,0.78229
dt,1,0,0.79425
dt,1,0,0.78947
dt,1,0,0.77511
dt,1,0,0.78229
dt,1,0,0.78468
dt,1,0,0.78468
dt,1,0,0.73684
dt,1,0,0.74162
dt,1,0,0.73923
dt,1,0,0.73923
dt,1,0,0.73684
dt,1,0,0.73684
dt,1,0,0.73444
dt,1,0,0.74162
dt,1,0,0.73684
dt,1,0,0.73923
dt,1,0,0.73923
dt,1,0,0.73684
dt,1,0,0.74162
dt,1,0,0.73923
dt,1,0,0.73205
dt,1,0,0.73684
dt,1,0,0.73444
dt,1,0,0.74162
dt,1,0,0.73684
dt,1,0,0.73923
dt,1,0,0.73444
dt,1,0,0.73923
dt,1,0,0.73923
dt,1,0,0.73923
dt,1,0,0.73205
dt,1,0,0.73444
dt,1,0,0.73684
dt,1,0,0.73684
dt,1,0,0.74401
dt,1,0,0.74162
dt,1,0,0.73205
dt,1,0,0.74162
dt,1,0,0.74162
dt,1,0,0.72727
dt,1,0,0.72727
dt,1,0,0.78708
dt,1,0,0.78468
dt,1,0,0.78947
dt,1,0,0.78708
dt,1,0,0.78468
dt,1,0,0.79425
dt,1,0,0.78708
dt,1,0,0.79425
dt,1,0,0.78468
dt,1,0,0.79425
dt,1,0,0.78468
dt,1,0,0.78947
dt,1,0,0.78708
dt,1,0,0.78947
dt,1,0,0.78468
dt,1,0,0.78947
dt,1,0,0.79425
dt,1,0,0.78468
dt,1,0,0.78947
dt,1,0,0.79186
dt,1,0,0.78468
dt,1,0,0.78947
dt,1,0,0.78708
dt,1,0,0.78947
dt,1,0,0.78468
dt,1,0,0.78708
dt,1,0,0.79425
dt,1,0,0.78468
dt,1,0,0.79186
dt,1,0,0.79425
dt,1,0,0.78947
dt,1,0,0.78468
dt,1,0,0.78468
dt,1,0,0.78708
dt,1,0,0.79186
dt,1,0,0.73684
dt,1,0,0.73444
dt,1,0,0.76555
dt,1,0,0.74162
dt,1,0,0.73923
dt,1,0,0.75837
dt,1,0,0.74401
dt,1,0,0.76555
dt,1,0,0.73923
dt,1,0,0.74401
dt,1,0,0.73444
dt,1,0,0.76315
dt,1,0,0.74401
dt,1,0,0.77033
dt,1,0,0.74162
dt,1,0,0.7488
dt,1,0,0.75837
dt,1,0,0.74162
dt,1,0,0.74162
dt,1,0,0.74641
dt,1,0,0.73444
dt,1,0,0.76076
dt,1,0,0.74401
dt,1,0,0.76315
dt,1,0,0.74162
dt,1,0,0.75119
dt,1,0,0.75837
dt,1,0,0.74162
dt,1,0,0.74401
dt,1,0,0.75119
dt,1,0,0.76315
dt,1,0,0.74162
dt,1,0,0.74641
dt,1,0,0.75358
dt,1,0,0.74162
dt,1,0,0.77751
dt,1,0,0.78468
dt,1,0,0.77751
dt,1,0,0.78468
dt,1,0,0.77511
dt,1,0,0.78468
dt,1,0,0.78708
dt,1,0,0.78468
dt,1,0,0.78947
dt,1,0,0.78708
dt,1,0,0.78468
dt,1,0,0.77511
dt,1,0,0.78229
dt,1,0,0.78708
dt,1,0,0.78947
dt,1,0,0.78468
dt,1,0,0.77511
dt,1,0,0.78468
dt,1,0,0.78468
dt,1,0,0.79186
dt,1,0,0.78708
dt,1,0,0.7488
dt,1,0,0.7488
dt,1,0,0.74641
dt,1,0,0.75598
dt,1,0,0.75358
dt,1,0,0.73205
dt,1,0,0.7488
dt,1,0,0.7488
dt,1,0,0.75837
dt,1,0,0.75837
dt,1,0,0.73444
dt,1,0,0.7488
dt,1,0,0.75837
dt,1,0,0.74641
dt,1,0,0.74401
dt,1,0,0.75598
dt,1,0,0.75598
dt,1,0,0.73205
dt,1,0,0.75837
dt,1,0,0.74162
dt,1,0,0.73923
dt,1,0,0.76076
dt,1,0,0.76794
dt,1,0,0.76794
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.76076
dt,1,0,0.76315
dt,1,0,0.77511
dt,1,0,0.74401
dt,1,0,0.76794
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.77511
dt,1,0,0.76076
dt,1,0,0.76794
dt,1,0,0.77511
dt,1,0,0.74401
dt,1,0,0.76794
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.77511
dt,1,0,0.76794
dt,1,0,0.77511
dt,1,0,0.74401
dt,1,0,0.7799
dt,1,0,0.75119
dt,1,0,0.76315
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.77272
dt,1,0,0.77511
dt,1,0,0.75358
dt,1,0,0.74162
dt,1,0,0.7488
dt,1,0,0.76794
dt,1,0,0.74401
dt,1,0,0.74401
dt,1,0,0.75358
dt,1,0,0.76794
dt,1,0,0.75358
dt,1,0,0.75119
dt,1,0,0.77272
dt,1,0,0.73684
dt,1,0,0.7799
dt,1,0,0.75598
dt,1,0,0.76555
dt,1,0,0.74401
dt,1,0,0.75119
dt,1,0,0.76794
dt,1,0,0.75119
dt,1,0,0.7488
dt,1,0,0.77033
dt,1,0,0.73923
dt,1,0,0.7799
dt,1,0,0.75119
dt,1,0,0.76315
dt,1,0,0.75119
dt,1,0,0.77033
dt,1,0,0.74641
dt,1,0,0.7799
dt,1,0,0.75837
dt,1,0,0.76555
dt,1,0,0.77033
dt,1,0,0.74641
dt,1,0,0.75358
dt,1,0,0.77272
dt,1,0,0.76555
dt,1,0,0.76555
dt,1,0,0.78229
dt,1,0,0.75598
dt,1,0,0.77272
dt,1,0,0.78708
dt,1,0,0.76076
dt,1,0,0.79425
dt,1,0,0.76794
dt,1,0,0.78229
dt,1,0,0.76794
dt,1,0,0.77511
dt,1,0,0.7488
dt,1,0,0.78468
dt,1,0,0.75598
dt,1,0,0.77033
dt,1,0,0.78468
dt,1,0,0.76076
dt,1,0,0.77511
dt,1,0,0.78708
dt,1,0,0.77033
dt,1,0,0.77511
dt,1,0,0.7488
dt,1,0,0.78947
dt,1,0,0.76076
dt,1,0,0.77033
dt,1,0,0.78468
dt,1,0,0.76076
dt,1,0,0.77511
dt,1,0,0.78708
dt,1,0,0.77751
dt,1,0,0.75598
dt,1,0,0.76315
dt,1,0,0.77272
dt,1,0,0.77272
dt,1,0,0.7488
dt,1,0,0.74641
dt,1,0,0.75598
dt,1,0,0.75837
dt,1,0,0.73205
dt,1,0,0.7488
dt,1,0,0.75837
dt,1,0,0.73923
dt,1,0,0.73923
dt,1,0,0.75358
dt,1,0,0.75837
dt,1,0,0.72727
dt,1,0,0.75837
dt,1,0,0.74401
dt,1,0,0.73684
dt,1,0,0.7488
dt,1,0,0.75837
dt,1,0,0.75598
dt,1,0,0.73684
dt,1,0,0.75598
dt,1,0,0.75598
dt,1,0,0.72966
dt,1,0,0.75598
dt,1,0,0.74401
dt,1,0,0.74401
dt,1,0,0.75598
dt,1,0,0.74641
dt,1,0,0.73923
dt,1,0,0.75358
dt,1,0,0.74641
dt,1,0,0.74401
dt,1,0,0.76076
dt,1,0,0.74401
dt,1,0,0.73923
dt,1,0,0.75598
dt,1,0,0.76076
dt,1,0,0.76315
dt,1,0,0.77511
dt,1,0,0.74401
dt,1,0,0.76794
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.77511
dt,1,0,0.76315
dt,1,0,0.77511
dt,1,0,0.74401
dt,1,0,0.77511
dt,1,0,0.74641
dt,1,0,0.76315
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.77272
dt,1,0,0.77511
dt,1,0,0.76555
dt,1,0,0.77511
dt,1,0,0.74401
dt,1,0,0.7799
dt,1,0,0.7488
dt,1,0,0.76315
dt,1,0,0.78708
dt,1,0,0.75598
dt,1,0,0.77511
dt,1,0,0.77511
dt,1,0,0.7799
dt,1,0,0.75119
dt,1,0,0.76076
dt,1,0,0.76794
dt,1,0,0.77511
dt,1,0,0.74162
dt,1,0,0.75119
dt,1,0,0.76555
dt,1,0,0.75598
dt,1,0,0.74641
dt,1,0,0.77033
dt,1,0,0.74401
dt,1,0,0.7799
dt,1,0,0.75358
dt,1,0,0.76315
dt,1,0,0.7488
dt,1,0,0.76555
dt,1,0,0.7488
dt,1,0,0.78468
dt,1,0,0.76076
dt,1,0,0.76555
dt,1,0,0.76794
dt,1,0,0.7488
dt,1,0,0.75358
dt,1,0,0.77272
dt,1,0,0.7488
dt,1,0,0.76555
dt,1,0,0.75119
dt,1,0,0.78229
dt,1,0,0.76076
dt,1,0,0.76315
dt,1,0,0.77033
