model,feature_num,baseline,kaggle_score,improvement,tuned,params
cb,"8, 9, 10",0.77751,0.78468,0.00717,0,
cb,"8, 9, 11",0.77751,0.79186,0.01434,0,
cb,"8, 10, 11",0.77751,0.79186,0.01434,0,
cb,"9, 10, 11",0.77751,0.79186,0.01434,0,
cb,"1, 2, 3, 4",0.77751,0.77272,-0.00479,0,
cb,"1, 2, 3, 5",0.77751,0.7799,0.00239,0,
cb,"1, 2, 3, 6",0.77751,0.77511,-0.0024,0,
cb,"1, 2, 3, 7",0.77751,0.77272,-0.00479,0,
cb,"1, 2, 3, 8",0.77751,0.77272,-0.00479,0,
cb,"1, 2, 3, 9",0.77751,0.77511,-0.0024,0,
cb,"1, 2, 3, 10",0.77751,0.76794,-0.00957,0,
cb,"1, 2, 3, 11",0.77751,0.78708,0.00956,0,
cb,"1, 2, 4, 5",0.77751,0.7799,0.00239,0,
cb,"1, 2, 4, 6",0.77751,0.77033,-0.00718,0,
cb,"1, 2, 4, 7",0.77751,0.77272,-0.00479,0,
cb,"1, 2, 4, 8",0.77751,0.77033,-0.00718,0,
cb,"1, 2, 4, 9",0.77751,0.77272,-0.00479,0,
cb,"1, 2, 4, 10",0.77751,0.77272,-0.00479,0,
cb,"1, 2, 4, 11",0.77751,0.77751,0.0,0,
cb,"1, 2, 5, 6",0.77751,0.77272,-0.00479,0,
cb,"1, 2, 5, 7",0.77751,0.77511,-0.0024,0,
cb,"1, 2, 5, 8",0.77751,0.77033,-0.00718,0,
cb,"1, 2, 5, 9",0.77751,0.77511,-0.0024,0,
cb,"1, 2, 5, 10",0.77751,0.77511,-0.0024,0,
cb,"1, 2, 5, 11",0.77751,0.78229,0.00478,0,
cb,"1, 2, 6, 7",0.77751,0.77511,-0.0024,0,
cb,"1, 2, 6, 8",0.77751,0.76555,-0.01196,0,
cb,"1, 2, 6, 9",0.77751,0.77751,0.0,0,
cb,"1, 2, 6, 10",0.77751,0.77751,0.0,0,
cb,"1, 2, 6, 11",0.77751,0.78708,0.00956,0,
cb,"1, 2, 7, 8",0.77751,0.77272,-0.00479,0,
cb,"1, 2, 7, 9",0.77751,0.77511,-0.0024,0,
cb,"1, 2, 7, 10",0.77751,0.77511,-0.0024,0,
cb,"1, 2, 7, 11",0.77751,0.78708,0.00956,0,
